Gene1,Gene2,value
ENSG00000129538,ENSG00000008441,0.661048583
ENSG00000130175,ENSG00000008441,-0.042508245
ENSG00000130176,ENSG00000008441,0.515669043
ENSG00000130522,ENSG00000008441,0.432179812
ENSG00000130726,ENSG00000008441,0.033677872
ENSG00000133392,ENSG00000008441,0.571040972
ENSG00000135472,ENSG00000008441,0.591328457
ENSG00000135506,ENSG00000008441,0.109206354
ENSG00000135744,ENSG00000008441,0.451170318
ENSG00000138834,ENSG00000008441,0.484262532
ENSG00000139899,ENSG00000008441,0.51540487
ENSG00000141753,ENSG00000008441,-0.213418164
ENSG00000143632,ENSG00000008441,0.359274802
ENSG00000149925,ENSG00000008441,0.14341911
ENSG00000159335,ENSG00000008441,0.533848038
ENSG00000161016,ENSG00000008441,-0.12628056
ENSG00000163453,ENSG00000008441,0.624805306
ENSG00000166165,ENSG00000008441,0.663643958
ENSG00000166963,ENSG00000008441,0.755854506
ENSG00000167468,ENSG00000008441,0.30160872
ENSG00000167658,ENSG00000008441,0.234011926
ENSG00000167676,ENSG00000008441,0.321395646
ENSG00000169564,ENSG00000008441,0.272605012
ENSG00000169710,ENSG00000008441,-0.092611782
ENSG00000171223,ENSG00000008441,0.063376782
ENSG00000171560,ENSG00000008441,-0.239606841
ENSG00000172270,ENSG00000008441,0.36266873
ENSG00000172660,ENSG00000008441,0.233571956
ENSG00000173432,ENSG00000008441,0.078596664
ENSG00000174231,ENSG00000008441,0.281680642
ENSG00000174437,ENSG00000008441,0.208592384
ENSG00000177469,ENSG00000008441,0.653182828
ENSG00000177666,ENSG00000008441,0.489485764
ENSG00000178209,ENSG00000008441,0.112723369
ENSG00000178719,ENSG00000008441,0.215069926
ENSG00000179218,ENSG00000008441,-0.145495577
ENSG00000179262,ENSG00000008441,0.362134549
ENSG00000181222,ENSG00000008441,0.206826591
ENSG00000184009,ENSG00000008441,-0.259877342
ENSG00000184897,ENSG00000008441,0.197853188
ENSG00000185650,ENSG00000008441,-0.023225231
ENSG00000185883,ENSG00000008441,0.692002083
ENSG00000186081,ENSG00000008441,0.143546018
ENSG00000189060,ENSG00000008441,-0.0866032
ENSG00000196091,ENSG00000008441,0.464570117
ENSG00000196218,ENSG00000008441,0.68612339
ENSG00000196361,ENSG00000008441,0.479202914
ENSG00000196754,ENSG00000008441,0.068530564
ENSG00000197102,ENSG00000008441,0.481818948
ENSG00000197249,ENSG00000008441,-0.400579093
ENSG00000197711,ENSG00000008441,-0.059476217
ENSG00000197766,ENSG00000008441,0.295903096
ENSG00000198695,ENSG00000008441,-0.092864496
ENSG00000198712,ENSG00000008441,0.238135404
ENSG00000198727,ENSG00000008441,0.508496234
ENSG00000198763,ENSG00000008441,0.456334653
ENSG00000198786,ENSG00000008441,0.156362943
ENSG00000198804,ENSG00000008441,0.074351166
ENSG00000198840,ENSG00000008441,0.523492142
ENSG00000198886,ENSG00000008441,0.446070134
ENSG00000198888,ENSG00000008441,0.609282616
ENSG00000198899,ENSG00000008441,0.362937222
ENSG00000198938,ENSG00000008441,0.515597584
ENSG00000212907,ENSG00000008441,0.399026264
ENSG00000214753,ENSG00000008441,0.357340382
ENSG00000228253,ENSG00000008441,0.350515737
ENSG00000229314,ENSG00000008441,-0.253549202
ENSG00000063180,ENSG00000034510,-0.457107262
ENSG00000067225,ENSG00000034510,0.144407356
ENSG00000072778,ENSG00000034510,0.196044682
ENSG00000074181,ENSG00000034510,0.759039476
ENSG00000079435,ENSG00000034510,0.384041973
ENSG00000082641,ENSG00000034510,0.589817372
ENSG00000084234,ENSG00000034510,0.204868659
ENSG00000085063,ENSG00000034510,0.60243813
ENSG00000089597,ENSG00000034510,0.699346339
ENSG00000099365,ENSG00000034510,-0.616449981
ENSG00000100234,ENSG00000034510,0.48069648
ENSG00000101210,ENSG00000034510,-0.529026704
ENSG00000101335,ENSG00000034510,0.366272568
ENSG00000103034,ENSG00000034510,-0.428928685
ENSG00000103257,ENSG00000034510,0.306930445
ENSG00000103495,ENSG00000034510,0.404501227
ENSG00000104852,ENSG00000034510,-0.045418757
ENSG00000104879,ENSG00000034510,0.205721931
ENSG00000104964,ENSG00000034510,0.043194244
ENSG00000105270,ENSG00000034510,-0.254211181
ENSG00000105701,ENSG00000034510,0.368092914
ENSG00000106211,ENSG00000034510,0.782603197
ENSG00000108518,ENSG00000034510,0.812384897
ENSG00000109846,ENSG00000034510,-0.028225128
ENSG00000110955,ENSG00000034510,-0.0957821
ENSG00000111245,ENSG00000034510,0.33374428
ENSG00000111674,ENSG00000034510,-0.483527795
ENSG00000111676,ENSG00000034510,0.127907812
ENSG00000122304,ENSG00000034510,0.245413561
ENSG00000129250,ENSG00000034510,0.571092582
ENSG00000129538,ENSG00000034510,0.062441316
ENSG00000130175,ENSG00000034510,0.689543197
ENSG00000130176,ENSG00000034510,0.366231177
ENSG00000130522,ENSG00000034510,0.586551522
ENSG00000130726,ENSG00000034510,0.587189967
ENSG00000133392,ENSG00000034510,0.400142935
ENSG00000135472,ENSG00000034510,-0.41236745
ENSG00000135506,ENSG00000034510,0.594442629
ENSG00000135744,ENSG00000034510,-0.475369919
ENSG00000138834,ENSG00000034510,-0.284079709
ENSG00000139899,ENSG00000034510,-0.57008962
ENSG00000141753,ENSG00000034510,0.518528057
ENSG00000143632,ENSG00000034510,0.197683362
ENSG00000149925,ENSG00000034510,0.340845195
ENSG00000159335,ENSG00000034510,0.190680578
ENSG00000161016,ENSG00000034510,0.733434837
ENSG00000163453,ENSG00000034510,0.399547742
ENSG00000166165,ENSG00000034510,-0.220551506
ENSG00000166963,ENSG00000034510,-0.374488393
ENSG00000167468,ENSG00000034510,0.652695714
ENSG00000167658,ENSG00000034510,0.700531118
ENSG00000167676,ENSG00000034510,0.512153999
ENSG00000169564,ENSG00000034510,0.70442322
ENSG00000169710,ENSG00000034510,0.358449053
ENSG00000171223,ENSG00000034510,0.881812229
ENSG00000171560,ENSG00000034510,-0.072262783
ENSG00000172270,ENSG00000034510,0.751500217
ENSG00000172660,ENSG00000034510,0.235208371
ENSG00000173432,ENSG00000034510,0.52462331
ENSG00000174231,ENSG00000034510,0.473789678
ENSG00000174437,ENSG00000034510,0.058614936
ENSG00000177469,ENSG00000034510,0.412523564
ENSG00000177666,ENSG00000034510,0.519189122
ENSG00000178209,ENSG00000034510,0.466599242
ENSG00000178719,ENSG00000034510,0.44803096
ENSG00000179218,ENSG00000034510,0.627204554
ENSG00000179262,ENSG00000034510,0.432470649
ENSG00000181222,ENSG00000034510,0.380599213
ENSG00000184009,ENSG00000034510,0.814600293
ENSG00000184897,ENSG00000034510,0.508809792
ENSG00000185650,ENSG00000034510,0.890950211
ENSG00000185883,ENSG00000034510,0.115013479
ENSG00000186081,ENSG00000034510,0.673586025
ENSG00000189060,ENSG00000034510,0.06385122
ENSG00000196091,ENSG00000034510,0.037749788
ENSG00000196218,ENSG00000034510,-0.351465789
ENSG00000196361,ENSG00000034510,-0.609448231
ENSG00000196754,ENSG00000034510,0.369234763
ENSG00000197102,ENSG00000034510,0.042757604
ENSG00000197249,ENSG00000034510,0.47471187
ENSG00000197711,ENSG00000034510,0.248368031
ENSG00000197766,ENSG00000034510,0.580897155
ENSG00000198695,ENSG00000034510,-0.121182378
ENSG00000198712,ENSG00000034510,-0.230536075
ENSG00000198727,ENSG00000034510,0.113798326
ENSG00000198763,ENSG00000034510,-0.289423851
ENSG00000198786,ENSG00000034510,-0.198170812
ENSG00000198804,ENSG00000034510,-0.191076043
ENSG00000198840,ENSG00000034510,0.099026887
ENSG00000198886,ENSG00000034510,-0.144764641
ENSG00000198888,ENSG00000034510,0.120370152
ENSG00000198899,ENSG00000034510,-0.27567448
